id,first_name,last_name,email,gender,Hobbies & Interests,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,Economics Score,geography_score,Computer Science Score,analytical thinking score,logical reasoning score,Psychology Score,preferred learning method,Recommended Stream
16,Roger,Wiley,roger.wiley.16@gslingacademy.com,male,Painting & Drawing,FALSE,6,FALSE,0,Business Owner,94,50,78,64,79,74,75,84,24,53,94,26,Visual,Medical
17,Vicki,Thompson,vicki.thompson.17@gslingacademy.com,female,Reading Books,FALSE,3,TRUE,30,Scientist,92,64,93,91,80,89,76,72,100,99,14,74,Auditory,Technology
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,Photography,FALSE,2,TRUE,28,Software Engineer,86,83,85,79,93,76,11,77,55,25,81,19,Visual,Medical
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,Gaming,FALSE,1,FALSE,37,Doctor,92,87,92,99,97,87,72,86,94,79,71,79,Auditory,Technology
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,Gaming,FALSE,2,FALSE,27,Software Engineer,99,65,98,75,66,72,31,100,27,24,78,28,Visual,Technology
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,Photography,TRUE,3,FALSE,15,Software Engineer,100,90,72,98,73,97,84,72,59,57,29,66,Visual,Arts
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,Acting & Theatre,FALSE,8,FALSE,4,Business Owner,57,55,78,94,83,88,71,88,11,30,66,74,Reading/Writing,Medical
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,Dance,FALSE,9,FALSE,2,Business Owner,89,72,68,72,71,54,12,90,84,19,12,44,Reading/Writing,Arts
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,Dance,FALSE,9,FALSE,1,Business Owner,50,76,81,55,56,80,71,79,24,48,100,92,Auditory,Arts
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,Reading Books,FALSE,4,FALSE,35,Software Engineer,87,91,90,88,95,88,67,93,67,77,58,70,Reading/Writing,Medical
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,Volunteering & Social Work,FALSE,5,FALSE,22,Doctor,92,86,87,81,93,90,94,99,63,62,21,19,Auditory,Medical
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,Public Speaking & Debating,FALSE,3,FALSE,34,Banker,100,77,80,94,63,90,43,90,50,71,70,61,Reading/Writing,Technology
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,Cooking & Baking,FALSE,0,FALSE,23,Writer,64,75,93,79,81,96,32,85,24,44,64,75,Reading/Writing,Medical
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,Sports,FALSE,1,TRUE,17,Accountant,79,65,99,71,76,77,53,83,18,78,57,15,Kinesthetic,Medical
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,Dance,FALSE,3,FALSE,19,Accountant,82,100,61,97,30,74,35,73,39,41,37,65,Visual,Arts
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,Volunteering & Social Work,FALSE,0,FALSE,14,Software Engineer,88,69,87,100,88,85,96,72,84,39,47,78,Reading/Writing,Medical
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,Coding & Programming,FALSE,4,FALSE,30,Designer,70,68,92,74,82,85,10,72,46,47,30,41,Visual,Medical
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,Entrepreneurship & Startups,FALSE,4,FALSE,30,Accountant,77,96,98,89,85,62,18,62,52,28,86,44,Reading/Writing,Medical
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,Volunteering & Social Work,FALSE,1,FALSE,24,Banker,99,84,84,78,78,77,56,68,90,26,56,60,Visual,Technology
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,Painting & Drawing,FALSE,3,TRUE,31,Unknown,90,93,91,80,86,69,77,62,99,19,89,53,Reading/Writing,Technology
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,Gaming,FALSE,1,FALSE,21,Unknown,65,70,78,98,80,66,37,65,60,69,17,32,Reading/Writing,Medical
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,Gaming,FALSE,2,TRUE,19,Construction Engineer,99,94,87,71,89,91,73,96,96,92,16,17,Visual,Technology
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,Public Speaking & Debating,FALSE,1,FALSE,29,Construction Engineer,92,100,85,89,81,91,25,88,34,78,72,73,Auditory,Arts
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,Coding & Programming,FALSE,4,FALSE,21,Banker,77,64,64,88,94,82,48,78,93,26,87,50,Kinesthetic,Medical
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,Dance,FALSE,4,FALSE,18,Accountant,92,60,66,87,60,83,63,95,44,66,85,28,Visual,Arts
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,Traveling,FALSE,4,FALSE,31,Software Engineer,85,97,64,90,79,81,87,81,67,71,44,96,Reading/Writing,Arts
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,Cooking & Baking,TRUE,7,FALSE,4,Business Owner,65,55,66,50,88,56,51,86,30,34,25,36,Kinesthetic,Medical
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,Writing & Blogging,TRUE,6,FALSE,3,Business Owner,93,94,92,77,87,98,87,63,59,74,43,97,Kinesthetic,Arts
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,Coding & Programming,FALSE,4,FALSE,3,Game Developer,97,99,85,96,91,68,35,66,13,18,63,93,Reading/Writing,Medical
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,Sports,TRUE,4,FALSE,3,Business Owner,54,99,79,57,53,95,15,83,77,25,39,16,Kinesthetic,Arts
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,Traveling,TRUE,5,TRUE,5,Business Owner,88,53,50,58,84,53,48,96,68,62,81,25,Visual,Technology
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,Sports,FALSE,5,TRUE,27,Lawyer,71,85,93,68,100,91,40,87,22,94,75,25,Kinesthetic,Medical
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,Coding & Programming,FALSE,0,TRUE,28,Stock Investor,81,98,74,70,97,65,39,65,35,77,43,97,Kinesthetic,Arts
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,Gaming,FALSE,4,FALSE,32,Unknown,80,78,86,80,64,68,13,100,92,16,98,87,Reading/Writing,Technology
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,Gaming,FALSE,0,FALSE,14,Accountant,100,89,90,93,30,83,22,74,81,13,58,75,Reading/Writing,Technology
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,Cooking & Baking,FALSE,6,TRUE,16,Stock Investor,76,72,96,65,89,87,40,94,35,59,62,76,Auditory,Medical
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,Gaming,FALSE,2,FALSE,24,Lawyer,99,81,73,70,85,86,78,61,99,81,56,34,Kinesthetic,Technology
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,Reading Books,FALSE,9,FALSE,0,Business Owner,64,70,61,81,82,51,11,70,16,25,28,58,Visual,Medical
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,Volunteering & Social Work,FALSE,3,FALSE,32,Banker,90,96,86,61,89,98,32,68,63,78,50,41,Reading/Writing,Arts
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,Acting & Theatre,FALSE,2,FALSE,3,Game Developer,85,100,92,68,60,77,85,83,15,42,69,24,Visual,Arts
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,Sports,FALSE,6,FALSE,31,Software Engineer,91,60,84,88,76,71,94,99,28,75,81,10,Visual,Medical
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,Reading Books,FALSE,3,FALSE,21,Unknown,95,72,79,86,87,81,66,62,47,76,16,37,Kinesthetic,Medical
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,Acting & Theatre,TRUE,2,FALSE,18,Banker,94,78,73,97,67,78,56,99,34,63,68,73,Reading/Writing,Arts
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,Music,FALSE,7,FALSE,26,Software Engineer,94,89,64,96,91,95,50,77,59,61,98,100,Reading/Writing,Arts
60,Casey,May,casey.may.60@gslingacademy.com,male,Sports,FALSE,4,FALSE,23,Software Engineer,89,99,90,79,85,96,52,98,90,53,49,53,Reading/Writing,Arts
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,Writing & Blogging,FALSE,2,FALSE,1,Game Developer,91,81,88,71,78,83,97,76,33,85,50,67,Reading/Writing,Arts
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,Reading Books,FALSE,5,FALSE,33,Lawyer,83,86,61,99,99,88,23,73,33,29,97,72,Kinesthetic,Medical
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,Dance,FALSE,7,FALSE,2,Business Owner,98,65,53,64,52,96,75,62,42,26,87,36,Kinesthetic,Arts
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,Music,FALSE,1,FALSE,34,Banker,83,97,65,88,67,95,26,69,59,37,64,46,Reading/Writing,Arts
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,Gaming,FALSE,2,FALSE,18,Construction Engineer,91,73,99,70,63,80,16,78,76,41,84,81,Reading/Writing,Technology
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,Traveling,TRUE,6,FALSE,2,Business Owner,90,54,77,74,76,96,45,88,66,53,97,82,Kinesthetic,Technology
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,Music,FALSE,3,FALSE,27,Software Engineer,92,86,66,69,100,71,68,80,67,52,97,91,Reading/Writing,Arts
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,Reading Books,FALSE,2,FALSE,8,Real Estate Developer,64,64,73,76,72,97,84,91,80,11,20,38,Reading/Writing,Arts
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,Coding & Programming,FALSE,4,FALSE,14,Software Engineer,90,70,85,60,81,71,86,88,43,10,47,12,Visual,Technology
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,Entrepreneurship & Startups,FALSE,10,TRUE,22,Banker,99,81,96,69,91,87,88,83,73,10,36,66,Reading/Writing,Technology
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,Public Speaking & Debating,FALSE,1,FALSE,15,Designer,89,66,93,81,86,88,70,70,94,31,53,58,Kinesthetic,Technology
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,Cooking & Baking,TRUE,3,FALSE,22,Writer,62,87,93,83,93,97,31,73,27,56,66,72,Auditory,Medical
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,Painting & Drawing,TRUE,10,FALSE,1,Business Owner,61,70,69,64,59,78,52,80,29,24,64,15,Auditory,Arts
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,Traveling,TRUE,8,FALSE,3,Business Owner,51,54,66,87,99,58,66,68,84,22,28,27,Reading/Writing,Medical
75,Anna,Li,anna.li.75@gslingacademy.com,female,Acting & Theatre,FALSE,2,FALSE,20,Software Engineer,85,100,64,68,73,81,25,87,77,77,78,28,Visual,Arts
76,Andrea,Case,andrea.case.76@gslingacademy.com,female,Acting & Theatre,FALSE,7,TRUE,27,Software Engineer,99,90,96,92,100,98,42,77,77,37,94,99,Visual,Arts
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,Cooking & Baking,FALSE,3,FALSE,24,Software Engineer,87,63,60,90,89,99,57,80,42,42,36,44,Auditory,Medical
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,Acting & Theatre,FALSE,1,TRUE,5,Unknown,75,91,80,93,74,93,92,65,84,12,66,40,Auditory,Arts
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,Sports,FALSE,7,FALSE,34,Unknown,88,94,80,63,68,77,96,64,52,78,36,36,Reading/Writing,Technology
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,Volunteering & Social Work,FALSE,3,FALSE,16,Software Engineer,87,79,89,68,93,75,65,92,63,82,62,35,Visual,Medical
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,Gaming,TRUE,3,FALSE,3,Business Owner,87,67,94,92,62,58,72,65,87,95,20,81,Kinesthetic,Technology
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,Acting & Theatre,FALSE,1,FALSE,15,Stock Investor,76,67,83,85,91,61,97,67,27,86,98,86,Auditory,Medical
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,Sports,FALSE,7,FALSE,11,Government Officer,60,80,61,63,95,92,46,75,35,72,86,45,Auditory,Medical
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,Music,FALSE,7,FALSE,32,Scientist,85,65,99,100,88,93,35,72,20,64,84,39,Reading/Writing,Medical
85,James,Dawson,james.dawson.85@gslingacademy.com,male,Cooking & Baking,FALSE,3,FALSE,28,Unknown,73,67,70,71,65,73,69,87,56,13,42,86,Auditory,Arts
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,Gaming,FALSE,1,FALSE,24,Software Engineer,85,71,69,80,70,77,28,66,89,64,24,93,Auditory,Technology
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,Writing & Blogging,FALSE,2,FALSE,9,Government Officer,91,76,71,72,92,67,27,90,33,65,68,17,Auditory,Arts
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,Cooking & Baking,FALSE,3,TRUE,14,Software Engineer,99,95,83,89,81,63,14,70,76,41,96,74,Reading/Writing,Technology
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,Photography,FALSE,3,FALSE,16,Stock Investor,93,96,68,87,69,89,21,100,22,11,38,72,Reading/Writing,Arts
90,William,Brown,william.brown.90@gslingacademy.com,male,Cooking & Baking,FALSE,3,FALSE,29,Software Engineer,89,75,60,80,62,85,98,73,69,100,49,10,Reading/Writing,Technology
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,Public Speaking & Debating,FALSE,0,FALSE,14,Accountant,95,78,95,73,32,65,45,68,16,78,25,95,Reading/Writing,Technology
92,James,Santiago,james.santiago.92@gslingacademy.com,male,Writing & Blogging,FALSE,4,FALSE,10,Government Officer,68,82,95,63,62,98,44,93,38,13,27,48,Reading/Writing,Arts
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,Painting & Drawing,FALSE,5,FALSE,31,Software Engineer,98,73,73,77,87,98,64,83,10,46,81,88,Kinesthetic,Arts
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,Volunteering & Social Work,FALSE,4,FALSE,34,Stock Investor,79,92,79,76,84,67,70,86,64,84,94,62,Kinesthetic,Arts
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,Volunteering & Social Work,FALSE,5,FALSE,3,Unknown,78,79,73,96,64,93,39,85,99,72,10,82,Reading/Writing,Arts
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,Volunteering & Social Work,FALSE,2,TRUE,34,Software Engineer,100,98,89,85,81,64,75,94,99,59,62,84,Kinesthetic,Technology
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,Writing & Blogging,FALSE,3,TRUE,2,Artist,86,76,84,93,76,69,94,91,52,72,45,39,Auditory,Arts
98,Thomas,White,thomas.white.98@gslingacademy.com,male,Photography,FALSE,3,FALSE,4,Real Estate Developer,87,89,93,98,79,72,26,88,58,42,37,11,Auditory,Medical
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,Dance,TRUE,0,FALSE,28,Lawyer,100,93,85,61,96,83,70,86,14,45,56,51,Auditory,Arts
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,Cooking & Baking,FALSE,0,FALSE,5,Game Developer,85,89,94,69,99,93,60,98,72,58,18,91,Reading/Writing,Arts
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,Coding & Programming,FALSE,2,FALSE,4,Artist,87,73,98,91,79,60,40,77,22,67,36,47,Visual,Medical
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,Sports,FALSE,2,FALSE,25,Software Engineer,96,80,100,61,81,98,77,65,42,100,86,56,Visual,Technology
103,James,Yang,james.yang.103@gslingacademy.com,male,Reading Books,FALSE,5,FALSE,29,Writer,76,87,64,74,73,90,69,99,91,31,39,63,Reading/Writing,Arts
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,Reading Books,TRUE,6,FALSE,1,Artist,90,80,63,94,64,70,82,79,52,40,50,92,Kinesthetic,Arts
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,Sports,FALSE,7,FALSE,2,Business Owner,65,60,100,91,87,78,30,99,29,94,42,35,Reading/Writing,Medical
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,Painting & Drawing,FALSE,2,FALSE,0,Real Estate Developer,98,97,62,89,62,95,99,77,58,31,25,50,Kinesthetic,Arts
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,Photography,FALSE,3,FALSE,16,Accountant,91,80,97,89,94,95,31,84,89,32,99,69,Kinesthetic,Medical
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,Cooking & Baking,FALSE,3,TRUE,31,Scientist,86,81,83,81,81,77,98,86,26,80,93,52,Auditory,Medical
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,Gaming,FALSE,1,FALSE,4,Unknown,91,93,72,61,61,87,52,95,73,70,100,21,Visual,Technology
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,Acting & Theatre,FALSE,5,TRUE,13,Accountant,78,69,82,60,64,77,72,82,92,93,54,44,Kinesthetic,Arts
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,Coding & Programming,FALSE,4,FALSE,24,Stock Investor,76,89,89,83,89,90,64,64,45,24,54,50,Kinesthetic,Medical
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,Sports,TRUE,9,FALSE,2,Business Owner,82,54,85,57,50,54,94,76,64,40,22,38,Reading/Writing,Technology
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,Traveling,TRUE,2,TRUE,4,Business Owner,45,85,94,76,57,93,91,86,90,10,48,82,Reading/Writing,Arts
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,Reading Books,FALSE,1,FALSE,22,Banker,92,75,65,97,61,76,53,81,68,78,39,48,Visual,Technology
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,Cooking & Baking,FALSE,6,TRUE,0,Business Owner,43,65,91,75,64,94,71,100,57,56,99,24,Visual,Arts
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,Entrepreneurship & Startups,FALSE,2,FALSE,24,Unknown,96,66,69,65,72,84,16,77,51,69,81,27,Kinesthetic,Technology
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,Music,FALSE,6,FALSE,1,Business Owner,78,71,50,55,54,97,26,95,52,60,45,53,Auditory,Arts
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,Music,FALSE,1,FALSE,19,Unknown,68,96,64,70,74,63,61,75,71,100,64,41,Kinesthetic,Arts
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,Writing & Blogging,FALSE,1,TRUE,19,Software Engineer,93,73,94,65,60,63,17,93,60,48,93,61,Reading/Writing,Arts
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,Painting & Drawing,FALSE,6,FALSE,5,Business Owner,55,93,67,74,55,60,83,64,43,26,37,60,Auditory,Arts
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,Dance,TRUE,0,FALSE,13,Teacher,66,90,83,80,76,90,77,91,54,97,37,52,Auditory,Arts
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,Coding & Programming,FALSE,4,FALSE,26,Doctor,98,92,91,99,97,88,87,75,67,96,93,87,Auditory,Medical
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,Entrepreneurship & Startups,FALSE,4,FALSE,41,Doctor,94,94,94,89,85,86,40,85,16,26,87,25,Visual,Medical
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,Sports,FALSE,3,FALSE,47,Doctor,96,100,96,91,91,96,87,89,79,66,10,96,Visual,Arts
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,Dance,FALSE,2,FALSE,9,Unknown,69,62,82,89,81,72,15,71,35,54,44,15,Reading/Writing,Medical
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,Sports,FALSE,4,FALSE,7,Unknown,77,95,98,69,60,89,41,71,89,25,30,79,Visual,Arts
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,Painting & Drawing,FALSE,1,FALSE,3,Game Developer,89,67,86,87,87,68,27,78,75,52,27,45,Auditory,Technology
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,Painting & Drawing,FALSE,4,TRUE,14,Accountant,96,67,80,83,86,77,94,75,48,87,56,66,Kinesthetic,Medical
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,Cooking & Baking,FALSE,4,FALSE,26,Unknown,82,70,80,70,96,69,81,86,89,66,49,52,Visual,Medical
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,Photography,FALSE,6,TRUE,27,Unknown,99,97,64,90,87,68,86,69,17,60,56,76,Visual,Medical
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,Volunteering & Social Work,TRUE,5,FALSE,25,Stock Investor,96,73,90,85,63,84,10,87,45,89,86,70,Kinesthetic,Technology
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,Sports,TRUE,4,FALSE,16,Banker,95,82,66,63,67,92,60,69,71,65,21,79,Kinesthetic,Arts
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,Traveling,FALSE,4,FALSE,27,Software Engineer,90,63,69,80,99,69,78,79,88,22,97,15,Auditory,Medical
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,Acting & Theatre,TRUE,6,FALSE,0,Business Owner,88,52,53,56,85,93,13,78,23,20,100,69,Auditory,Arts
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,Coding & Programming,FALSE,1,FALSE,3,Designer,87,62,87,96,85,90,29,74,68,19,76,41,Kinesthetic,Medical
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,Writing & Blogging,FALSE,2,FALSE,6,Designer,62,83,84,75,83,85,26,86,21,54,63,72,Reading/Writing,Arts
137,David,Patel,david.patel.137@gslingacademy.com,male,Music,FALSE,2,FALSE,12,Banker,85,65,60,78,81,96,62,76,60,47,13,100,Reading/Writing,Arts
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,Volunteering & Social Work,FALSE,1,TRUE,11,Banker,79,97,76,67,61,90,15,95,70,91,77,67,Kinesthetic,Arts
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,Entrepreneurship & Startups,FALSE,4,FALSE,23,Software Engineer,90,94,98,96,68,82,90,81,62,56,93,85,Kinesthetic,Technology
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,Traveling,FALSE,2,FALSE,23,Doctor,97,71,82,80,97,93,79,78,35,65,15,66,Kinesthetic,Medical
141,James,Singh,james.singh.141@gslingacademy.com,male,Public Speaking & Debating,FALSE,0,FALSE,16,Software Engineer,88,69,87,81,77,67,68,93,80,94,20,99,Visual,Technology
142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,Painting & Drawing,TRUE,2,TRUE,3,Artist,71,85,77,89,98,63,21,100,61,37,47,40,Reading/Writing,Medical
143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,Reading Books,FALSE,1,FALSE,29,Lawyer,70,99,79,96,60,97,55,100,83,92,34,93,Auditory,Arts
144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,Acting & Theatre,FALSE,3,TRUE,18,Software Engineer,93,68,76,99,80,80,21,75,58,93,50,43,Reading/Writing,Medical
145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,Traveling,FALSE,0,FALSE,3,Game Developer,92,79,81,61,86,72,83,88,62,94,49,38,Visual,Technology
146,Victor,Jones,victor.jones.146@gslingacademy.com,male,Photography,FALSE,3,FALSE,6,Real Estate Developer,83,72,68,94,100,98,40,92,83,100,97,24,Reading/Writing,Medical
147,Mark,Young,mark.young.147@gslingacademy.com,male,Acting & Theatre,FALSE,8,FALSE,2,Business Owner,68,97,51,93,68,58,50,78,69,66,66,49,Auditory,Arts
